target,numbers,num_available,occurrences,unique_trajectories,unique_histories,swap_candidates_A,swap_candidates_B,splits
33,6|25|58|100,4,1,1,1,0,0,train
33,6|33|100,3,1,1,1,0,0,train
9600,4|7|25|50|75|100,6,1,1,1,0,0,test
9600,4|32|50|75|100,5,1,1,1,0,0,test
9600,4|50|100|2400,4,1,1,1,0,0,test
9600,50|100|9600,3,1,1,1,0,0,test
104,1|4|6|7|10|100,6,1,1,1,0,0,test
104,1|3|4|6|100,5,1,1,1,0,0,test
104,1|4|6|103,4,1,1,1,0,0,test
104,4|6|104,3,1,1,1,0,0,test
550,2|7|25|50|75|100,6,1,1,1,0,0,test
550,2|50|75|100|175,5,1,1,1,0,0,test
550,2|50|75|275,4,1,1,1,0,0,test
550,50|75|550,3,1,1,1,0,0,test
296,3|4|4|6|7|75,6,1,1,1,0,0,test
296,3|4|6|7|300,5,1,1,1,0,0,test
296,3|6|7|296,4,1,1,1,0,0,test
1891,3|8|9|9|10|100,6,1,1,1,0,0,test
1891,3|8|9|19|100,5,1,1,1,0,0,test
1891,3|8|9|1900,4,1,1,1,0,0,test
1891,3|8|1891,3,1,1,1,0,0,test
30,1|1|2|3|10|25,6,1,1,1,0,0,test
30,1|2|3|10|25,5,1,1,1,0,0,test
30,1|3|10|27,4,1,1,1,0,0,test
30,1|10|30,3,1,1,1,0,0,test
27,2|6|10|25|50|75,6,1,1,1,0,0,test
27,6|10|23|50|75,5,1,1,1,0,0,test
27,6|10|27|75,4,1,1,1,0,0,test
1650,5|7|9|9|50|75,6,1,1,1,0,0,test
1650,4|7|9|50|75,5,1,1,1,0,0,test
1650,9|28|50|75,4,1,1,1,0,0,test
1650,9|22|75,3,1,1,1,0,0,test
1650,9|1650,2,1,1,1,0,0,test
39993,4|7|8|25|50|100,6,1,1,1,0,0,test
39993,7|8|50|100|100,5,1,1,1,0,0,test
39993,7|50|100|800,4,1,1,1,0,0,test
39993,7|100|40000,3,1,1,1,0,0,test
39993,100|39993,2,1,1,1,0,0,test
187675,2|7|25|50|75|100,6,1,1,1,0,0,test
187675,7|25|50|100|150,5,1,1,1,0,0,test
187675,7|25|100|7500,4,1,1,1,0,0,test
187675,25|100|7507,3,1,1,1,0,0,test
187675,100|187675,2,1,1,1,0,0,test
8,1|4|5|8|75|100,6,1,1,1,0,0,test
8,1|1|8|75|100,5,1,1,1,0,0,test
8,1|8|75|100,4,1,1,1,0,0,test
8,8|75|100,3,1,1,1,0,0,test
290,5|10|10|25|75|100,6,1,1,1,0,0,test
290,10|10|30|75|100,5,1,1,1,0,0,test
290,10|75|100|300,4,1,1,1,0,0,test
290,75|100|290,3,1,1,1,0,0,test
696,4|7|25|50|75|100,6,1,1,1,0,0,test
696,4|25|50|75|700,5,1,1,1,0,0,test
696,25|50|75|696,4,1,1,1,0,0,test
11175,1|6|9|25|50|75,6,1,1,1,0,0,test
11175,6|9|25|50|75,5,1,1,1,0,0,test
11175,6|9|75|1250,4,1,1,1,0,0,test
11175,6|75|11250,3,1,1,1,0,0,test
11175,6|11175,2,1,1,1,0,0,test
900,1|8|25|50|75|100,6,1,1,1,0,0,test
900,1|25|50|75|800,5,1,1,1,0,0,test
900,25|50|75|800,4,1,1,1,0,0,test
900,25|50|875,3,1,1,1,0,0,test
900,50|900,2,1,1,1,0,0,test
165,2|10|25|50|75|100,6,1,1,1,0,0,test
165,2|10|75|75|100,5,1,1,1,0,0,test
165,2|10|75|175,4,1,1,1,0,0,test
165,2|75|165,3,1,1,1,0,0,test
56,1|5|6|7|9|50,6,1,1,1,0,0,test
56,5|7|7|9|50,5,1,1,1,0,0,test
56,5|7|50|63,4,1,1,1,0,0,test
56,5|50|56,3,1,1,1,0,0,test
120,2|5|5|7|8|100,6,1,1,1,0,0,test
120,2|5|5|15|100,5,1,1,1,0,0,test
120,2|5|20|100,4,1,1,1,0,0,test
120,2|5|120,3,1,1,1,0,0,test
100,2|6|25|50|75|100,6,1,1,1,0,0,test
100,2|6|50|75|75,5,1,1,1,0,0,test
100,0|2|6|50,4,1,1,1,0,0,test
100,2|6|50,3,1,1,1,0,0,test
100,6|100,2,1,1,1,0,0,test
93,5|5|8|8|10|25,6,1,1,1,0,0,test
93,5|5|8|10|17,5,1,1,1,0,0,test
93,5|8|10|85,4,1,1,1,0,0,test
93,5|10|93,3,1,1,1,0,0,test
